load,Q,P,COP,tr_cw,G_cw,ts_cw,tr_chw,G_chw,ts_chw,Te,Pe,Tc,Pc,
0.719 ,1643.8 ,140.2 ,11.7258 ,16,75.2 ,21.7 ,10,87.3 ,5.5 ,4.4 ,343 ,22.5 ,617 ,
0.699 ,1598.2 ,138.2 ,11.5658 ,16,75.2 ,21.5 ,10,76.4 ,5.0 ,4.0 ,337 ,22.3 ,613 ,
0.674 ,1540.4 ,135.9 ,11.3315 ,16,75.2 ,21.3 ,10,65.5 ,4.4 ,3.4 ,331 ,22.0 ,609 ,
0.641 ,1465.8 ,133.2 ,11.0014 ,16,75.2 ,21.1 ,10,54.6 ,3.6 ,2.7 ,322 ,21.7 ,603 ,
0.821 ,1877.0 ,152.0 ,12.3483 ,16,75.2 ,22.5 ,12,109.2 ,7.9 ,6.7 ,370 ,23.3 ,633 ,
0.807 ,1843.1 ,149.9 ,12.2924 ,16,75.2 ,22.4 ,12,98.3 ,7.5 ,6.3 ,366 ,23.2 ,630 ,
0.793 ,1811.5 ,146.9 ,12.3317 ,16,75.2 ,22.2 ,12,87.3 ,7.1 ,5.8 ,359 ,22.6 ,620 ,
0.770 ,1760.4 ,144.8 ,12.1595 ,16,75.2 ,22.1 ,12,76.4 ,6.5 ,5.4 ,355 ,22.6 ,620 ,
0.739 ,1688.4 ,142.0 ,11.8891 ,16,75.2 ,21.8 ,12,65.5 ,5.9 ,4.8 ,348 ,22.6 ,619 ,
0.703 ,1606.8 ,138.5 ,11.5991 ,16,75.2 ,21.6 ,12,54.6 ,5.0 ,4.0 ,338 ,22.3 ,613 ,
0.625 ,1428.3 ,137.7 ,10.3749 ,16,75.2 ,21.0 ,12,43.7 ,4.2 ,3.5 ,332 ,23.6 ,638 ,
0.588 ,1342.5 ,131.7 ,10.1958 ,16,62.6 ,21.6 ,6,109.2 ,3.1 ,2.0 ,315 ,22.2 ,611 ,
0.657 ,1501.2 ,137.3 ,10.9340 ,16,62.6 ,22.3 ,8,109.2 ,4.7 ,3.6 ,333 ,22.9 ,624 ,
0.645 ,1474.3 ,136.3 ,10.8174 ,16,62.6 ,22.2 ,8,98.3 ,4.4 ,3.3 ,330 ,22.8 ,622 ,
0.631 ,1442.1 ,135.1 ,10.6734 ,16,62.6 ,22.0 ,8,87.3 ,4.1 ,3.0 ,326 ,22.6 ,619 ,
