load,Q,P,COP,tr_cw,G_cw,ts_cw,tr_chw,G_chw,ts_chw,Te,Pe,Tc,Pc,
0.714 ,1632.6 ,167.1 ,9.7681 ,24,112.7 ,27.8 ,12,98.3 ,8.0 ,6.9 ,374 ,28.7 ,741 ,
0.697 ,1591.5 ,165.6 ,9.6081 ,24,112.7 ,27.7 ,12,87.3 ,7.7 ,6.6 ,370 ,28.5 ,738 ,
0.686 ,1568.5 ,165.9 ,9.4529 ,24,112.7 ,27.7 ,12,76.4 ,7.1 ,6.6 ,369 ,28.8 ,744 ,
0.647 ,1478.9 ,162.0 ,9.1299 ,24,112.7 ,27.5 ,12,65.5 ,6.6 ,5.7 ,358 ,28.2 ,732 ,
0.612 ,1398.8 ,159.7 ,8.7578 ,24,112.7 ,27.3 ,12,54.6 ,5.9 ,5.0 ,350 ,28.0 ,727 ,
0.536 ,1225.4 ,164.3 ,7.4565 ,24,112.7 ,27.0 ,12,43.7 ,5.3 ,5.0 ,350 ,29.7 ,763 ,
0.452 ,1031.9 ,167.2 ,6.1718 ,24,112.7 ,26.6 ,12,32.8 ,4.5 ,4.1 ,339 ,29.9 ,769 ,
0.473 ,1081.1 ,155.1 ,6.9695 ,24,100.2 ,27.0 ,6,109.2 ,3.6 ,2.7 ,322 ,27.5 ,715 ,
0.473 ,1079.9 ,155.5 ,6.9459 ,24,100.2 ,27.0 ,6,98.3 ,3.4 ,2.7 ,323 ,27.5 ,717 ,
0.464 ,1060.6 ,155.6 ,6.8176 ,24,100.2 ,26.9 ,6,87.3 ,3.1 ,2.6 ,322 ,27.5 ,717 ,
0.437 ,999.3 ,154.8 ,6.4542 ,24,100.2 ,26.8 ,6,76.4 ,2.9 ,2.0 ,315 ,27.2 ,710 ,
0.555 ,1269.0 ,158.0 ,8.0328 ,24,100.2 ,27.4 ,8,109.2 ,5.2 ,4.2 ,340 ,28.0 ,727 ,
0.543 ,1241.3 ,157.5 ,7.8798 ,24,100.2 ,27.4 ,8,98.3 ,5.0 ,4.0 ,338 ,28.0 ,726 ,
0.540 ,1234.1 ,157.3 ,7.8448 ,24,100.2 ,27.3 ,8,87.3 ,4.6 ,3.9 ,337 ,27.9 ,725 ,
0.514 ,1173.5 ,156.2 ,7.5119 ,24,100.2 ,27.2 ,8,76.4 ,4.4 ,3.4 ,331 ,27.7 ,721 ,
0.500 ,1142.4 ,157.3 ,7.2634 ,24,100.2 ,27.1 ,8,65.5 ,3.9 ,3.4 ,331 ,28.0 ,727 ,
0.473 ,1081.2 ,157.8 ,6.8528 ,24,100.2 ,27.0 ,8,54.6 ,3.3 ,3.1 ,327 ,28.1 ,728 ,
0.642 ,1466.6 ,162.4 ,9.0330 ,24,100.2 ,27.9 ,10,109.2 ,6.8 ,5.7 ,358 ,28.4 ,736 ,
0.624 ,1426.5 ,161.9 ,8.8122 ,24,100.2 ,27.8 ,10,98.3 ,6.5 ,5.5 ,356 ,28.5 ,737 ,
0.618 ,1412.3 ,161.5 ,8.7438 ,24,100.2 ,27.8 ,10,87.3 ,6.2 ,5.4 ,354 ,28.4 ,736 ,
0.600 ,1371.2 ,161.1 ,8.5128 ,24,100.2 ,27.7 ,10,76.4 ,5.7 ,5.2 ,352 ,28.5 ,737 ,
0.566 ,1292.7 ,158.5 ,8.1565 ,24,100.2 ,27.5 ,10,65.5 ,5.3 ,4.4 ,342 ,28.1 ,729 ,
0.542 ,1238.5 ,160.1 ,7.7350 ,24,100.2 ,27.4 ,10,54.6 ,4.6 ,4.4 ,343 ,28.6 ,740 ,
0.495 ,1130.9 ,155.6 ,7.2665 ,24,100.2 ,27.1 ,10,43.7 ,3.8 ,3.1 ,327 ,27.6 ,718 ,
0.403 ,920.2 ,168.1 ,5.4734 ,24,100.2 ,26.6 ,10,32.8 ,3.3 ,3.1 ,327 ,29.4 ,758 ,
0.724 ,1653.3 ,168.6 ,9.8077 ,24,100.2 ,28.4 ,12,109.2 ,8.4 ,7.2 ,377 ,28.9 ,746 ,
0.703 ,1606.7 ,167.7 ,9.5814 ,24,100.2 ,28.3 ,12,98.3 ,8.1 ,7.0 ,374 ,29.0 ,749 ,
0.687 ,1569.1 ,166.4 ,9.4319 ,24,100.2 ,28.2 ,12,87.3 ,7.7 ,6.7 ,370 ,28.9 ,746 ,
0.673 ,1536.8 ,166.2 ,9.2458 ,24,100.2 ,28.1 ,12,76.4 ,7.2 ,6.6 ,369 ,29.1 ,750 ,
0.638 ,1458.7 ,162.8 ,8.9597 ,24,100.2 ,27.9 ,12,65.5 ,6.7 ,5.8 ,359 ,28.6 ,739 ,
0.604 ,1380.2 ,160.6 ,8.5933 ,24,100.2 ,27.7 ,12,54.6 ,6.0 ,5.1 ,351 ,28.3 ,734 ,
0.543 ,1240.2 ,164.3 ,7.5466 ,24,100.2 ,27.4 ,12,43.7 ,5.2 ,5.1 ,351 ,29.6 ,762 ,
0.451 ,1029.7 ,168.0 ,6.1297 ,24,100.2 ,26.9 ,12,32.8 ,4.5 ,4.2 ,340 ,30.1 ,772 ,
0.462 ,1054.9 ,156.6 ,6.7372 ,24,87.7 ,27.3 ,6,109.2 ,3.7 ,2.7 ,323 ,27.8 ,722 ,
0.453 ,1035.3 ,156.6 ,6.6129 ,24,87.7 ,27.3 ,6,98.3 ,3.5 ,2.6 ,321 ,27.7 ,721 ,
0.449 ,1025.2 ,157.1 ,6.5278 ,24,87.7 ,27.2 ,6,87.3 ,3.2 ,2.6 ,321 ,27.8 ,722 ,
0.428 ,978.0 ,156.6 ,6.2457 ,24,87.7 ,27.1 ,6,76.4 ,3.0 ,2.1 ,316 ,27.5 ,717 ,
0.548 ,1251.2 ,158.1 ,7.9157 ,24,87.7 ,27.9 ,8,109.2 ,5.3 ,4.1 ,339 ,28.1 ,728 ,
0.536 ,1225.2 ,158.0 ,7.7546 ,24,87.7 ,27.8 ,8,98.3 ,5.0 ,4.0 ,338 ,28.1 ,729 ,
0.519 ,1186.9 ,158.2 ,7.5044 ,24,87.7 ,27.7 ,8,87.3 ,4.8 ,3.8 ,336 ,28.2 ,731 ,
0.503 ,1150.1 ,157.6 ,7.2975 ,24,87.7 ,27.6 ,8,76.4 ,4.4 ,3.5 ,332 ,28.1 ,728 ,
0.495 ,1130.1 ,157.9 ,7.1589 ,24,87.7 ,27.5 ,8,65.5 ,3.9 ,3.4 ,331 ,28.1 ,730 ,
0.464 ,1059.8 ,158.9 ,6.6709 ,24,87.7 ,27.3 ,8,54.6 ,3.4 ,3.1 ,327 ,28.3 ,733 ,
0.423 ,967.1 ,156.6 ,6.1735 ,24,87.7 ,27.1 ,8,43.7 ,2.7 ,2.0 ,315 ,27.5 ,716 ,
0.349 ,797.1 ,174.2 ,4.5744 ,24,87.7 ,26.7 ,8,32.8 ,2.2 ,2.2 ,317 ,29.1 ,751 ,
0.627 ,1433.7 ,162.6 ,8.8183 ,24,87.7 ,28.4 ,10,109.2 ,6.9 ,5.6 ,358 ,28.6 ,740 ,
0.615 ,1404.4 ,162.2 ,8.6579 ,24,87.7 ,28.3 ,10,98.3 ,6.6 ,5.5 ,356 ,28.7 ,741 ,
0.596 ,1361.2 ,161.9 ,8.4073 ,24,87.7 ,28.2 ,10,87.3 ,6.3 ,5.3 ,353 ,28.8 ,743 ,
0.578 ,1321.3 ,160.9 ,8.2100 ,24,87.7 ,28.1 ,10,76.4 ,5.9 ,4.9 ,349 ,28.6 ,740 ,
0.555 ,1268.6 ,159.7 ,7.9421 ,24,87.7 ,27.9 ,10,65.5 ,5.4 ,4.5 ,344 ,28.5 ,737 ,
0.532 ,1214.9 ,161.0 ,7.5469 ,24,87.7 ,27.8 ,10,54.6 ,4.7 ,4.4 ,343 ,28.9 ,745 ,
0.487 ,1113.6 ,157.2 ,7.0863 ,24,87.7 ,27.5 ,10,43.7 ,3.9 ,3.2 ,329 ,28.0 ,726 ,
0.705 ,1611.3 ,170.0 ,9.4773 ,24,87.7 ,28.9 ,12,109.2 ,8.5 ,7.4 ,380 ,29.6 ,762 ,
0.694 ,1586.8 ,167.9 ,9.4505 ,24,87.7 ,28.8 ,12,98.3 ,8.2 ,7.0 ,374 ,29.2 ,753 ,
0.674 ,1540.0 ,167.3 ,9.2044 ,24,87.7 ,28.7 ,12,87.3 ,7.8 ,6.8 ,372 ,29.4 ,756 ,
0.653 ,1492.3 ,165.7 ,9.0042 ,24,87.7 ,28.5 ,12,76.4 ,7.4 ,6.4 ,367 ,29.2 ,753 ,
0.637 ,1454.5 ,165.6 ,8.7817 ,24,87.7 ,28.4 ,12,65.5 ,6.7 ,6.2 ,365 ,29.4 ,756 ,
0.594 ,1356.6 ,161.8 ,8.3835 ,24,87.7 ,28.2 ,12,54.6 ,6.1 ,5.2 ,352 ,28.7 ,743 ,
0.550 ,1257.8 ,159.5 ,7.8856 ,24,87.7 ,27.9 ,12,43.7 ,5.2 ,4.4 ,343 ,28.4 ,736 ,
0.429 ,980.6 ,172.1 ,5.6983 ,24,87.7 ,27.2 ,12,32.8 ,4.9 ,4.2 ,341 ,30.6 ,784 ,
0.456 ,1041.4 ,157.3 ,6.6183 ,24,75.2 ,27.8 ,6,109.2 ,3.7 ,2.8 ,323 ,27.9 ,725 ,
0.440 ,1004.4 ,158.9 ,6.3229 ,24,75.2 ,27.7 ,6,98.3 ,3.6 ,2.7 ,322 ,28.1 ,729 ,
0.428 ,978.4 ,159.1 ,6.1512 ,24,75.2 ,27.6 ,6,87.3 ,3.3 ,2.5 ,320 ,28.0 ,728 ,
0.416 ,949.9 ,159.1 ,5.9699 ,24,75.2 ,27.5 ,6,76.4 ,3.0 ,2.2 ,317 ,27.9 ,725 ,
0.528 ,1206.9 ,160.9 ,7.5006 ,24,75.2 ,28.4 ,8,109.2 ,5.4 ,4.4 ,342 ,28.8 ,745 ,
0.520 ,1187.3 ,158.9 ,7.4703 ,24,75.2 ,28.3 ,8,98.3 ,5.1 ,4.0 ,337 ,28.4 ,735 ,
0.512 ,1171.1 ,158.8 ,7.3731 ,24,75.2 ,28.2 ,8,87.3 ,4.8 ,3.8 ,336 ,28.4 ,735 ,
0.490 ,1118.9 ,159.5 ,7.0129 ,24,75.2 ,28.1 ,8,76.4 ,4.5 ,3.6 ,333 ,28.5 ,738 ,
0.470 ,1074.9 ,159.1 ,6.7555 ,24,75.2 ,27.9 ,8,65.5 ,4.1 ,3.3 ,329 ,28.4 ,735 ,
0.452 ,1032.8 ,160.2 ,6.4476 ,24,75.2 ,27.8 ,8,54.6 ,3.5 ,3.1 ,327 ,28.5 ,737 ,
0.413 ,943.5 ,159.2 ,5.9276 ,24,75.2 ,27.5 ,8,43.7 ,2.9 ,2.2 ,317 ,27.9 ,725 ,
0.608 ,1388.7 ,165.2 ,8.4058 ,24,75.2 ,29.0 ,10,109.2 ,7.0 ,5.9 ,361 ,29.5 ,760 ,
0.601 ,1373.2 ,162.9 ,8.4275 ,24,75.2 ,28.9 ,10,98.3 ,6.7 ,5.5 ,356 ,29.0 ,748 ,
0.584 ,1334.8 ,162.4 ,8.2200 ,24,75.2 ,28.8 ,10,87.3 ,6.4 ,5.2 ,353 ,29.0 ,748 ,
0.563 ,1287.4 ,162.6 ,7.9180 ,24,75.2 ,28.6 ,10,76.4 ,6.0 ,5.1 ,350 ,29.1 ,751 ,
0.541 ,1236.8 ,161.5 ,7.6586 ,24,75.2 ,28.5 ,10,65.5 ,5.5 ,4.6 ,345 ,29.0 ,747 ,
0.519 ,1185.7 ,161.9 ,7.3220 ,24,75.2 ,28.3 ,10,54.6 ,4.8 ,4.4 ,343 ,29.1 ,751 ,
0.475 ,1085.8 ,159.2 ,6.8202 ,24,75.2 ,28.0 ,10,43.7 ,4.1 ,3.4 ,330 ,28.4 ,735 ,
0.687 ,1570.2 ,171.1 ,9.1785 ,24,75.2 ,29.6 ,12,109.2 ,8.6 ,7.5 ,381 ,30.2 ,775 ,
0.675 ,1543.2 ,168.1 ,9.1779 ,24,75.2 ,29.5 ,12,98.3 ,8.3 ,6.9 ,373 ,29.6 ,761 ,
0.662 ,1513.1 ,167.5 ,9.0356 ,24,75.2 ,29.4 ,12,87.3 ,7.9 ,6.7 ,371 ,29.6 ,760 ,
0.637 ,1455.7 ,167.2 ,8.7064 ,24,75.2 ,29.2 ,12,76.4 ,7.5 ,6.5 ,368 ,29.8 ,765 ,
0.620 ,1416.5 ,166.2 ,8.5253 ,24,75.2 ,29.1 ,12,65.5 ,6.9 ,6.2 ,364 ,29.7 ,763 ,
0.580 ,1325.2 ,163.5 ,8.1047 ,24,75.2 ,28.8 ,12,54.6 ,6.2 ,5.4 ,354 ,29.3 ,755 ,
0.542 ,1237.4 ,165.1 ,7.4928 ,24,75.2 ,28.5 ,12,43.7 ,5.3 ,5.2 ,352 ,29.8 ,767 ,
0.435 ,994.8 ,172.0 ,5.7825 ,24,75.2 ,27.7 ,12,32.8 ,4.8 ,4.4 ,342 ,30.7 ,785 ,
0.430 ,981.5 ,162.3 ,6.0467 ,24,62.6 ,28.4 ,6,109.2 ,3.9 ,3.0 ,326 ,28.7 ,742 ,
0.421 ,962.5 ,162.4 ,5.9254 ,24,62.6 ,28.3 ,6,98.3 ,3.7 ,2.8 ,324 ,28.6 ,741 ,
0.399 ,911.5 ,163.1 ,5.5900 ,24,62.6 ,28.1 ,6,76.4 ,3.2 ,2.4 ,319 ,28.4 ,736 ,
0.384 ,876.6 ,163.8 ,5.3508 ,24,62.6 ,28.0 ,6,65.5 ,2.8 ,2.1 ,315 ,28.3 ,733 ,
0.507 ,1158.7 ,163.6 ,7.0839 ,24,62.6 ,29.1 ,8,109.2 ,5.5 ,4.5 ,344 ,29.5 ,759 ,
0.458 ,1045.5 ,160.9 ,6.4965 ,24,62.6 ,28.6 ,8,65.5 ,4.2 ,3.3 ,330 ,28.7 ,742 ,
0.429 ,980.1 ,162.6 ,6.0279 ,24,62.6 ,28.4 ,8,54.6 ,3.7 ,3.0 ,326 ,28.8 ,743 ,
0.405 ,925.6 ,164.8 ,5.6165 ,24,62.6 ,28.2 ,8,43.7 ,3.0 ,2.7 ,323 ,28.9 ,745 ,
0.585 ,1335.7 ,167.4 ,7.9776 ,24,62.6 ,29.8 ,10,109.2 ,7.1 ,6.1 ,363 ,30.2 ,776 ,
0.573 ,1309.8 ,166.7 ,7.8551 ,24,62.6 ,29.7 ,10,98.3 ,6.8 ,5.8 ,360 ,30.1 ,773 ,
0.541 ,1236.6 ,163.3 ,7.5741 ,24,62.6 ,29.4 ,10,76.4 ,6.2 ,4.9 ,349 ,29.4 ,757 ,
0.529 ,1209.2 ,163.1 ,7.4155 ,24,62.6 ,29.3 ,10,65.5 ,5.6 ,4.7 ,346 ,29.4 ,756 ,
0.495 ,1132.1 ,163.2 ,6.9379 ,24,62.6 ,29.0 ,10,54.6 ,5.1 ,4.3 ,341 ,29.4 ,756 ,
0.467 ,1066.4 ,164.5 ,6.4843 ,24,62.6 ,28.7 ,10,43.7 ,4.2 ,4.0 ,338 ,29.5 ,759 ,
0.662 ,1513.0 ,172.9 ,8.7481 ,24,62.6 ,30.5 ,12,109.2 ,8.7 ,7.6 ,383 ,31.0 ,793 ,
0.649 ,1483.6 ,171.9 ,8.6288 ,24,62.6 ,30.4 ,12,98.3 ,8.4 ,7.4 ,379 ,30.9 ,790 ,
0.634 ,1448.4 ,170.8 ,8.4818 ,24,62.6 ,30.2 ,12,87.3 ,8.1 ,7.0 ,375 ,30.7 ,786 ,
0.615 ,1405.3 ,169.4 ,8.2953 ,24,62.6 ,30.0 ,12,76.4 ,7.6 ,6.7 ,370 ,30.5 ,782 ,
0.595 ,1359.7 ,166.9 ,8.1483 ,24,62.6 ,29.9 ,12,65.5 ,7.1 ,6.1 ,363 ,30.0 ,771 ,
0.561 ,1282.0 ,166.0 ,7.7210 ,24,62.6 ,29.6 ,12,54.6 ,6.4 ,5.6 ,357 ,30.0 ,770 ,
0.530 ,1211.3 ,166.3 ,7.2826 ,24,62.6 ,29.3 ,12,43.7 ,5.4 ,5.2 ,353 ,30.1 ,773 ,
0.465 ,1061.5 ,162.5 ,6.5345 ,24,62.6 ,28.7 ,12,32.8 ,4.3 ,3.7 ,334 ,29.1 ,750 ,
0.361 ,824.4 ,171.5 ,4.8059 ,24,50.1 ,28.8 ,6,65.5 ,3.0 ,2.3 ,318 ,29.1 ,750 ,
0.477 ,1089.3 ,168.2 ,6.4772 ,24,50.1 ,30.0 ,8,109.2 ,5.6 ,4.7 ,346 ,30.4 ,778 ,
0.468 ,1069.0 ,168.0 ,6.3637 ,24,50.1 ,29.9 ,8,98.3 ,5.4 ,4.5 ,344 ,30.3 ,776 ,
0.457 ,1044.7 ,167.8 ,6.2247 ,24,50.1 ,29.8 ,8,87.3 ,5.2 ,4.3 ,341 ,30.1 ,773 ,
0.444 ,1014.9 ,167.7 ,6.0502 ,24,50.1 ,29.7 ,8,76.4 ,4.8 ,4.0 ,338 ,30.0 ,770 ,
0.428 ,977.5 ,167.8 ,5.8249 ,24,50.1 ,29.5 ,8,65.5 ,4.5 ,3.7 ,334 ,29.8 ,765 ,
0.378 ,864.6 ,169.7 ,5.0936 ,24,50.1 ,29.0 ,8,43.7 ,3.3 ,2.6 ,322 ,29.2 ,753 ,
0.551 ,1259.3 ,171.2 ,7.3549 ,24,50.1 ,30.9 ,10,109.2 ,7.3 ,6.3 ,365 ,31.2 ,798 ,
0.538 ,1228.6 ,171.1 ,7.1825 ,24,50.1 ,30.7 ,10,98.3 ,7.0 ,6.1 ,363 ,31.2 ,797 ,
0.529 ,1208.5 ,170.0 ,7.1078 ,24,50.1 ,30.6 ,10,87.3 ,6.7 ,5.8 ,359 ,31.0 ,792 ,
0.513 ,1173.1 ,169.4 ,6.9259 ,24,50.1 ,30.4 ,10,76.4 ,6.3 ,5.5 ,355 ,30.8 ,788 ,
0.494 ,1129.9 ,168.7 ,6.6986 ,24,50.1 ,30.2 ,10,65.5 ,5.9 ,5.1 ,350 ,30.6 ,783 ,
0.437 ,999.3 ,167.7 ,5.9574 ,24,50.1 ,29.6 ,10,43.7 ,4.6 ,3.9 ,336 ,29.9 ,768 ,
0.626 ,1429.7 ,176.2 ,8.1138 ,24,50.1 ,31.7 ,12,109.2 ,8.9 ,7.8 ,385 ,32.1 ,819 ,
0.614 ,1403.1 ,175.3 ,8.0031 ,24,50.1 ,31.6 ,12,98.3 ,8.6 ,7.6 ,382 ,32.0 ,815 ,
0.600 ,1370.9 ,174.3 ,7.8647 ,24,50.1 ,31.4 ,12,87.3 ,8.3 ,7.3 ,378 ,31.8 ,811 ,
0.583 ,1331.7 ,173.1 ,7.6911 ,24,50.1 ,31.2 ,12,76.4 ,7.9 ,6.9 ,374 ,31.6 ,807 ,
0.496 ,1133.1 ,168.8 ,6.7111 ,24,50.1 ,30.2 ,12,43.7 ,5.8 ,5.1 ,351 ,30.6 ,784 ,
0.360 ,823.1 ,181.9 ,4.5237 ,24,37.6 ,30.4 ,6,109.2 ,4.2 ,3.4 ,331 ,30.6 ,784 ,
0.354 ,808.8 ,182.7 ,4.4262 ,24,37.6 ,30.3 ,6,98.3 ,4.0 ,3.3 ,329 ,30.5 ,782 ,
0.310 ,707.9 ,192.0 ,3.6875 ,24,37.6 ,29.8 ,6,54.6 ,2.9 ,2.3 ,318 ,29.9 ,769 ,
0.422 ,965.0 ,178.0 ,5.4209 ,24,37.6 ,31.3 ,8,98.3 ,5.7 ,4.8 ,347 ,31.5 ,805 ,
0.413 ,944.5 ,178.3 ,5.2987 ,24,37.6 ,31.2 ,8,87.3 ,5.4 ,4.6 ,345 ,31.4 ,802 ,
0.402 ,919.4 ,178.6 ,5.1470 ,24,37.6 ,31.0 ,8,76.4 ,5.1 ,4.4 ,342 ,31.2 ,798 ,
0.388 ,887.6 ,179.4 ,4.9481 ,24,37.6 ,30.8 ,8,65.5 ,4.8 ,4.0 ,338 ,31.0 ,793 ,
0.370 ,846.4 ,180.8 ,4.6813 ,24,37.6 ,30.6 ,8,54.6 ,4.3 ,3.6 ,333 ,30.8 ,787 ,
0.311 ,709.8 ,192.3 ,3.6905 ,24,37.6 ,29.8 ,8,32.8 ,2.9 ,2.3 ,319 ,30.0 ,770 ,
0.490 ,1119.2 ,178.7 ,6.2618 ,24,37.6 ,32.3 ,12,54.6 ,7.1 ,6.4 ,367 ,32.6 ,829 ,
0.412 ,940.5 ,177.7 ,5.2930 ,24,37.6 ,31.2 ,12,32.8 ,5.2 ,4.5 ,344 ,31.3 ,799 ,
0.431 ,984.6 ,162.1 ,6.0759 ,26,125.3 ,28.2 ,6,109.2 ,3.9 ,3.0 ,325 ,28.7 ,742 ,
0.429 ,979.1 ,162.7 ,6.0176 ,26,125.3 ,28.2 ,6,98.3 ,3.6 ,3.0 ,326 ,28.8 ,744 ,
0.420 ,960.1 ,163.2 ,5.8821 ,26,125.3 ,28.2 ,6,87.3 ,3.4 ,2.9 ,325 ,28.8 ,744 ,
0.408 ,931.4 ,164.1 ,5.6740 ,26,125.3 ,28.1 ,6,76.4 ,3.1 ,2.7 ,323 ,28.8 ,744 ,
0.380 ,868.2 ,164.9 ,5.2652 ,26,125.3 ,28.0 ,6,65.5 ,2.9 ,2.1 ,316 ,28.4 ,736 ,
0.517 ,1182.1 ,162.2 ,7.2868 ,26,125.3 ,28.6 ,8,109.2 ,5.4 ,4.4 ,343 ,29.2 ,752 ,
0.513 ,1171.8 ,162.7 ,7.2015 ,26,125.3 ,28.6 ,8,98.3 ,5.2 ,4.5 ,343 ,29.3 ,755 ,
0.504 ,1152.3 ,162.7 ,7.0809 ,26,125.3 ,28.5 ,8,87.3 ,4.9 ,4.3 ,342 ,29.3 ,754 ,
0.486 ,1109.7 ,163.3 ,6.7967 ,26,125.3 ,28.4 ,8,76.4 ,4.5 ,4.1 ,339 ,29.4 ,756 ,
0.457 ,1043.4 ,161.6 ,6.4567 ,26,125.3 ,28.3 ,8,65.5 ,4.2 ,3.4 ,331 ,28.8 ,745 ,
0.431 ,984.6 ,162.1 ,6.0759 ,26,125.3 ,28.2 ,8,54.6 ,3.7 ,3.0 ,325 ,28.7 ,742 ,
0.391 ,893.8 ,170.7 ,5.2345 ,26,125.3 ,28.0 ,8,43.7 ,3.1 ,3.1 ,327 ,29.7 ,763 ,
0.603 ,1378.3 ,165.6 ,8.3221 ,26,125.3 ,29.0 ,10,109.2 ,7.0 ,5.9 ,361 ,29.7 ,763 ,
0.602 ,1375.2 ,165.9 ,8.2902 ,26,125.3 ,29.0 ,10,98.3 ,6.7 ,6.0 ,362 ,29.7 ,765 ,
0.575 ,1313.6 ,164.2 ,7.9981 ,26,125.3 ,28.8 ,10,87.3 ,6.4 ,5.5 ,355 ,29.5 ,759 ,
0.567 ,1296.5 ,165.4 ,7.8400 ,26,125.3 ,28.8 ,10,76.4 ,6.0 ,5.5 ,356 ,29.8 ,766 ,
0.533 ,1217.3 ,162.7 ,7.4841 ,26,125.3 ,28.6 ,10,65.5 ,5.6 ,4.7 ,346 ,29.3 ,754 ,
0.503 ,1149.0 ,161.9 ,7.0966 ,26,125.3 ,28.5 ,10,54.6 ,5.0 ,4.2 ,340 ,29.1 ,750 ,
0.420 ,959.8 ,174.0 ,5.5160 ,26,125.3 ,28.2 ,10,43.7 ,4.8 ,4.3 ,341 ,30.8 ,788 ,
0.367 ,838.4 ,182.3 ,4.5986 ,26,125.3 ,28.0 ,10,32.8 ,3.9 ,3.7 ,334 ,30.9 ,790 ,
0.688 ,1573.1 ,171.0 ,9.1998 ,26,125.3 ,29.3 ,12,109.2 ,8.6 ,7.5 ,381 ,30.2 ,774 ,
0.685 ,1564.8 ,171.1 ,9.1454 ,26,125.3 ,29.3 ,12,98.3 ,8.2 ,7.5 ,381 ,30.2 ,776 ,
0.670 ,1529.9 ,170.3 ,8.9817 ,26,125.3 ,29.3 ,12,87.3 ,7.8 ,7.2 ,378 ,30.2 ,775 ,
0.635 ,1450.9 ,167.4 ,8.6668 ,26,125.3 ,29.1 ,12,76.4 ,7.5 ,6.5 ,368 ,29.8 ,767 ,
0.608 ,1390.1 ,165.9 ,8.3800 ,26,125.3 ,29.0 ,12,65.5 ,6.9 ,6.0 ,362 ,29.7 ,763 ,
0.574 ,1312.5 ,164.2 ,7.9921 ,26,125.3 ,28.8 ,12,54.6 ,6.3 ,5.4 ,355 ,29.5 ,759 ,
0.487 ,1111.8 ,172.9 ,6.4319 ,26,125.3 ,28.5 ,12,43.7 ,5.9 ,5.5 ,356 ,31.4 ,801 ,
0.418 ,954.8 ,178.4 ,5.3530 ,26,125.3 ,28.2 ,12,32.8 ,5.1 ,4.7 ,347 ,31.5 ,804 ,
0.424 ,970.0 ,163.3 ,5.9382 ,26,112.7 ,28.4 ,6,109.2 ,3.9 ,3.0 ,326 ,28.9 ,746 ,
0.415 ,949.1 ,163.7 ,5.7972 ,26,112.7 ,28.4 ,6,98.3 ,3.7 ,2.8 ,324 ,28.8 ,744 ,
0.418 ,954.1 ,163.7 ,5.8279 ,26,112.7 ,28.4 ,6,87.3 ,3.4 ,2.9 ,325 ,28.9 ,745 ,
0.400 ,915.1 ,165.5 ,5.5285 ,26,112.7 ,28.3 ,6,76.4 ,3.2 ,2.7 ,323 ,28.9 ,747 ,
0.375 ,856.2 ,166.5 ,5.1407 ,26,112.7 ,28.2 ,6,65.5 ,2.9 ,2.1 ,316 ,28.6 ,739 ,
0.510 ,1165.6 ,163.2 ,7.1437 ,26,112.7 ,28.8 ,8,109.2 ,5.5 ,4.5 ,343 ,29.4 ,757 ,
0.509 ,1162.6 ,163.1 ,7.1269 ,26,112.7 ,28.8 ,8,98.3 ,5.2 ,4.5 ,343 ,29.4 ,757 ,
0.494 ,1129.1 ,163.5 ,6.9041 ,26,112.7 ,28.8 ,8,87.3 ,4.9 ,4.3 ,341 ,29.4 ,758 ,
0.483 ,1102.6 ,163.7 ,6.7355 ,26,112.7 ,28.7 ,8,76.4 ,4.6 ,4.2 ,339 ,29.4 ,758 ,
0.451 ,1029.8 ,162.8 ,6.3268 ,26,112.7 ,28.5 ,8,65.5 ,4.3 ,3.5 ,331 ,29.0 ,749 ,
0.426 ,972.4 ,163.3 ,5.9538 ,26,112.7 ,28.4 ,8,54.6 ,3.8 ,3.0 ,326 ,28.9 ,746 ,
0.386 ,882.4 ,172.2 ,5.1258 ,26,112.7 ,28.2 ,8,43.7 ,3.2 ,3.1 ,328 ,29.8 ,766 ,
0.321 ,733.7 ,190.5 ,3.8523 ,26,112.7 ,28.0 ,8,32.8 ,2.7 ,2.7 ,322 ,30.3 ,776 ,
0.595 ,1359.9 ,166.4 ,8.1737 ,26,112.7 ,29.3 ,10,109.2 ,7.0 ,6.0 ,362 ,29.9 ,768 ,
0.592 ,1352.9 ,166.3 ,8.1375 ,26,112.7 ,29.2 ,10,98.3 ,6.7 ,5.9 ,361 ,29.9 ,768 ,
0.567 ,1296.7 ,165.1 ,7.8556 ,26,112.7 ,29.1 ,10,87.3 ,6.5 ,5.5 ,356 ,29.7 ,764 ,
0.558 ,1274.9 ,166.0 ,7.6807 ,26,112.7 ,29.1 ,10,76.4 ,6.0 ,5.5 ,356 ,30.0 ,770 ,
0.526 ,1202.3 ,163.6 ,7.3503 ,26,112.7 ,28.9 ,10,65.5 ,5.6 ,4.8 ,347 ,29.5 ,759 ,
0.497 ,1135.3 ,162.9 ,6.9684 ,26,112.7 ,28.8 ,10,54.6 ,5.1 ,4.3 ,341 ,29.3 ,755 ,
0.458 ,1047.4 ,162.7 ,6.4374 ,26,112.7 ,28.6 ,10,43.7 ,4.3 ,3.6 ,333 ,29.1 ,750 ,
0.369 ,844.2 ,182.2 ,4.6331 ,26,112.7 ,28.2 ,10,32.8 ,3.9 ,3.7 ,335 ,30.9 ,791 ,
